# auffaellig_temperatur: nach Übertemperatur: früheres, flacheres Plateau
# MODELLKURVE aus veroeffentlichten Kennwerten — KEINE Messdaten.
# Erzeugt von data/build_templates.py (siehe docs/decisions.md, D2).
t_s,spannung_v,strom_c,kapazitaet_ah,temp_c
0.0,2.9938,0.1,0.0,31.87
2.0,3.0453,0.1,0.0385,32.12
4.0,3.0915,0.1,0.077,31.84
6.0,3.1294,0.1,0.1155,32.34
8.0,3.1752,0.1,0.154,32.54
10.0,3.2081,0.1,0.1925,32.49
12.0,3.2517,0.1,0.231,32.57
14.0,3.2846,0.1,0.2695,32.58
16.0,3.3146,0.1,0.308,32.3
18.0,3.3531,0.1,0.3465,32.53
20.0,3.382,0.1,0.385,32.56
22.0,3.4117,0.1,0.4235,32.74
24.0,3.4394,0.1,0.462,32.78
26.0,3.4717,0.1,0.5005,32.82
28.0,3.4961,0.1,0.539,33.01
30.0,3.5304,0.1,0.5775,32.87
32.0,3.5539,0.1,0.616,33.15
34.0,3.5666,0.1,0.6545,32.96
36.0,3.5962,0.1,0.693,33.25
38.0,3.6213,0.1,0.7315,33.26
40.0,3.6444,0.1,0.77,33.12
42.0,3.6613,0.1,0.8085,33.12
44.0,3.6832,0.1,0.847,33.34
46.0,3.7036,0.1,0.8855,33.31
48.0,3.7245,0.1,0.924,33.61
50.0,3.7444,0.1,0.9625,33.63
52.0,3.7576,0.1,1.001,33.67
54.0,3.7756,0.1,1.0395,33.53
56.0,3.7936,0.1,1.078,33.93
58.0,3.8111,0.1,1.1165,33.73
60.0,3.821,0.1,1.155,33.83
62.0,3.8343,0.1,1.1935,33.91
64.0,3.8478,0.1,1.232,33.83
66.0,3.8667,0.1,1.2705,33.93
68.0,3.8743,0.1,1.309,34.08
70.0,3.8869,0.1,1.3475,34.03
72.0,3.898,0.1,1.386,33.84
74.0,3.9095,0.1,1.4245,33.89
76.0,3.9212,0.1,1.463,33.92
78.0,3.9338,0.1,1.5015,34.24
80.0,3.9421,0.1,1.54,34.15
82.0,3.9522,0.1,1.5785,33.9
84.0,3.9571,0.1,1.617,34.21
86.0,3.9704,0.1,1.6555,34.24
88.0,3.9751,0.1,1.694,34.3
90.0,3.9851,0.1,1.7325,34.15
92.0,3.9955,0.1,1.771,34.3
94.0,4.0059,0.1,1.8095,34.46
96.0,4.0119,0.1,1.848,34.43
98.0,4.0144,0.1,1.8865,34.26
100.0,4.0194,0.1,1.925,34.85
102.0,4.0272,0.1,1.9635,34.4
104.0,4.0358,0.1,2.002,34.4
106.0,4.0413,0.1,2.0405,34.18
108.0,4.046,0.1,2.079,34.26
110.0,4.0543,0.1,2.1175,34.38
112.0,4.0581,0.1,2.156,34.52
114.0,4.0637,0.1,2.1945,34.63
116.0,4.0693,0.1,2.233,34.53
118.0,4.0714,0.1,2.2715,34.6
120.0,4.0789,0.1,2.31,34.56
122.0,4.0856,0.1,2.3485,34.47
124.0,4.0896,0.1,2.387,34.44
126.0,4.0972,0.1,2.4255,34.63
128.0,4.0986,0.1,2.464,34.31
130.0,4.0978,0.1,2.5025,34.38
132.0,4.1041,0.1,2.541,34.54
134.0,4.1057,0.1,2.5795,34.63
136.0,4.1118,0.1,2.618,34.14
138.0,4.1137,0.1,2.6565,34.04
140.0,4.1161,0.1,2.695,34.33
142.0,4.1196,0.1,2.7335,34.35
144.0,4.1232,0.1,2.772,34.29
146.0,4.1317,0.1,2.8105,34.54
148.0,4.1265,0.1,2.849,34.52
150.0,4.1277,0.1,2.8875,34.19
152.0,4.1397,0.1,2.926,33.95
154.0,4.1393,0.1,2.9645,34.07
156.0,4.1395,0.1,3.003,34.2
158.0,4.1472,0.1,3.0415,34.08
160.0,4.1441,0.1,3.08,34.26
162.0,4.1456,0.1,3.1185,34.01
164.0,4.1482,0.1,3.157,34.11
166.0,4.153,0.1,3.1955,33.92
168.0,4.1508,0.1,3.234,34.07
170.0,4.1535,0.1,3.2725,33.96
172.0,4.1556,0.1,3.311,33.84
174.0,4.1549,0.1,3.3495,33.97
176.0,4.1556,0.1,3.388,34.03
178.0,4.1611,0.1,3.4265,33.62
180.0,4.1628,0.1,3.465,33.79
182.0,4.1656,0.1,3.5035,33.89
184.0,4.1636,0.1,3.542,33.57
186.0,4.1642,0.1,3.5805,33.48
188.0,4.1651,0.1,3.619,33.62
190.0,4.1686,0.1,3.6575,33.45
192.0,4.1675,0.1,3.696,33.52
194.0,4.1694,0.1,3.7345,33.26
196.0,4.1715,0.1,3.773,33.32
198.0,4.1698,0.1,3.8115,33.43
200.0,4.1766,0.1,3.85,33.26
202.0,4.1754,0.1,3.8885,33.27
204.0,4.1759,0.1,3.927,33.27
206.0,4.1818,0.1,3.9655,33.09
208.0,4.179,0.1,4.004,33.15
210.0,4.1775,0.1,4.0425,32.79
212.0,4.1821,0.1,4.081,32.66
214.0,4.1855,0.1,4.1195,32.97
216.0,4.1815,0.1,4.158,32.78
218.0,4.1869,0.084,4.1965,32.57
220.0,4.1788,0.0694,4.235,32.56
222.0,4.1822,0.0562,4.2735,32.43
224.0,4.1841,0.0444,4.312,32.54
226.0,4.1818,0.034,4.3505,32.7
228.0,4.1806,0.025,4.389,32.2
230.0,4.1865,0.0174,4.4,32.3
232.0,4.1872,0.0111,4.4,32.17
234.0,4.1834,0.0063,4.4,32.1
236.0,4.1849,0.0028,4.4,32.21
238.0,4.186,0.0007,4.4,32.18
240.0,4.1897,0.0,4.4,32.16
