# gut: gesunde Zelle, C/10-Erstladung, volles Plateau
# MODELLKURVE aus veroeffentlichten Kennwerten — KEINE Messdaten.
# Erzeugt von data/build_templates.py (siehe docs/decisions.md, D2).
t_s,spannung_v,strom_c,kapazitaet_ah,temp_c
0.0,2.9996,0.1,0.0,31.97
2.0,3.0312,0.1,0.0438,32.17
4.0,3.0619,0.1,0.0875,31.91
6.0,3.0933,0.1,0.1313,32.16
8.0,3.1208,0.1,0.175,32.28
10.0,3.1505,0.1,0.2188,32.5
12.0,3.1794,0.1,0.2625,32.41
14.0,3.2021,0.1,0.3063,32.3
16.0,3.2313,0.1,0.35,32.72
18.0,3.2562,0.1,0.3937,32.57
20.0,3.2825,0.1,0.4375,32.43
22.0,3.3041,0.1,0.4813,32.78
24.0,3.3312,0.1,0.525,32.74
26.0,3.3527,0.1,0.5687,32.87
28.0,3.3762,0.1,0.6125,32.73
30.0,3.3973,0.1,0.6562,32.73
32.0,3.4089,0.1,0.7,32.93
34.0,3.4346,0.1,0.7437,33.21
36.0,3.4595,0.1,0.7875,32.95
38.0,3.4795,0.1,0.8313,33.04
40.0,3.4958,0.1,0.875,33.21
42.0,3.5149,0.1,0.9187,33.43
44.0,3.5345,0.1,0.9625,33.41
46.0,3.5521,0.1,1.0063,33.49
48.0,3.5654,0.1,1.05,33.36
50.0,3.5825,0.1,1.0938,33.6
52.0,3.5994,0.1,1.1375,33.92
54.0,3.6134,0.1,1.1813,33.46
56.0,3.6336,0.1,1.225,33.89
58.0,3.6478,0.1,1.2688,33.85
60.0,3.6651,0.1,1.3125,33.75
62.0,3.6709,0.1,1.3563,33.73
64.0,3.6921,0.1,1.4,33.64
66.0,3.703,0.1,1.4438,33.94
68.0,3.7152,0.1,1.4875,34.05
70.0,3.7309,0.1,1.5312,34.33
72.0,3.7436,0.1,1.575,33.93
74.0,3.7524,0.1,1.6188,33.94
76.0,3.7689,0.1,1.6625,34.01
78.0,3.7775,0.1,1.7063,34.24
80.0,3.7868,0.1,1.75,34.12
82.0,3.7945,0.1,1.7938,34.03
84.0,3.8091,0.1,1.8375,34.29
86.0,3.8249,0.1,1.8813,34.25
88.0,3.8323,0.1,1.925,34.31
90.0,3.8446,0.1,1.9688,34.44
92.0,3.8519,0.1,2.0125,34.18
94.0,3.8632,0.1,2.0562,34.41
96.0,3.8733,0.1,2.1,34.37
98.0,3.8843,0.1,2.1438,34.34
100.0,3.8919,0.1,2.1875,34.43
102.0,3.894,0.1,2.2312,34.26
104.0,3.9033,0.1,2.275,34.66
106.0,3.9142,0.1,2.3188,34.56
108.0,3.9124,0.1,2.3625,34.58
110.0,3.9287,0.1,2.4062,34.4
112.0,3.9325,0.1,2.45,34.49
114.0,3.9467,0.1,2.4937,34.33
116.0,3.9471,0.1,2.5375,34.7
118.0,3.9538,0.1,2.5812,34.44
120.0,3.962,0.1,2.625,34.31
122.0,3.9688,0.1,2.6687,34.32
124.0,3.9769,0.1,2.7125,34.5
126.0,3.9872,0.1,2.7563,34.53
128.0,3.9902,0.1,2.8,34.29
130.0,3.9915,0.1,2.8438,34.53
132.0,4.0026,0.1,2.8875,34.22
134.0,4.0057,0.1,2.9313,34.55
136.0,4.0125,0.1,2.975,34.55
138.0,4.0131,0.1,3.0187,34.35
140.0,4.0142,0.1,3.0625,34.44
142.0,4.0221,0.1,3.1063,34.7
144.0,4.0255,0.1,3.15,34.43
146.0,4.0271,0.1,3.1937,34.3
148.0,4.037,0.1,3.2375,34.46
150.0,4.0448,0.1,3.2812,34.3
152.0,4.0412,0.1,3.325,34.35
154.0,4.0501,0.1,3.3688,34.33
156.0,4.0503,0.1,3.4125,34.4
158.0,4.0565,0.1,3.4563,34.3
160.0,4.0637,0.1,3.5,34.26
162.0,4.0643,0.1,3.5438,34.45
164.0,4.0676,0.1,3.5875,34.05
166.0,4.0706,0.1,3.6313,34.28
168.0,4.0738,0.1,3.675,34.1
170.0,4.0802,0.1,3.7188,33.91
172.0,4.0745,0.1,3.7625,33.99
174.0,4.0834,0.1,3.8062,33.81
176.0,4.0882,0.1,3.85,33.95
178.0,4.0854,0.1,3.8938,33.89
180.0,4.0906,0.1,3.9375,33.55
182.0,4.0954,0.1,3.9813,33.71
184.0,4.0946,0.1,4.025,33.75
186.0,4.101,0.1,4.0688,33.54
188.0,4.1034,0.1,4.1125,33.73
190.0,4.1026,0.1,4.1562,33.58
192.0,4.1072,0.1,4.2,33.81
194.0,4.1041,0.1,4.2438,33.52
196.0,4.1111,0.1,4.2875,33.35
198.0,4.1201,0.1,4.3312,33.3
200.0,4.1233,0.1,4.375,33.18
202.0,4.1199,0.1,4.4188,33.12
204.0,4.1189,0.1,4.4625,33.14
206.0,4.1222,0.1,4.5062,33.11
208.0,4.1187,0.1,4.55,33.32
210.0,4.1265,0.1,4.5938,33.22
212.0,4.1259,0.1,4.6375,32.94
214.0,4.1403,0.1,4.6813,32.7
216.0,4.1282,0.1,4.725,32.69
218.0,4.1358,0.084,4.7687,32.81
220.0,4.14,0.0694,4.8125,32.61
222.0,4.133,0.0562,4.8563,32.52
224.0,4.1432,0.0444,4.9,32.59
226.0,4.1352,0.034,4.9437,32.45
228.0,4.1468,0.025,4.9875,32.71
230.0,4.1458,0.0174,5.0,32.37
232.0,4.1419,0.0111,5.0,32.13
234.0,4.1472,0.0063,5.0,32.27
236.0,4.1501,0.0028,5.0,32.06
238.0,4.1463,0.0007,5.0,31.95
240.0,4.1476,0.0,5.0,32.1
