# mittel: grenzwertig: Kapazität am unteren Rand, Plateau verkürzt
# MODELLKURVE aus veroeffentlichten Kennwerten — KEINE Messdaten.
# Erzeugt von data/build_templates.py (siehe docs/decisions.md, D2).
t_s,spannung_v,strom_c,kapazitaet_ah,temp_c
0.0,3.0045,0.1,0.0,31.7
2.0,3.0292,0.1,0.0413,32.19
4.0,3.0622,0.1,0.0826,32.07
6.0,3.0982,0.1,0.1239,32.3
8.0,3.1279,0.1,0.1652,32.28
10.0,3.1562,0.1,0.2065,32.52
12.0,3.1861,0.1,0.2478,32.44
14.0,3.2143,0.1,0.2891,32.47
16.0,3.2429,0.1,0.3304,32.5
18.0,3.2671,0.1,0.3717,32.7
20.0,3.3003,0.1,0.413,32.68
22.0,3.3235,0.1,0.4543,32.84
24.0,3.3487,0.1,0.4956,32.82
26.0,3.3704,0.1,0.5369,32.96
28.0,3.3931,0.1,0.5782,32.75
30.0,3.4155,0.1,0.6195,32.67
32.0,3.4374,0.1,0.6608,33.08
34.0,3.4624,0.1,0.7021,33.1
36.0,3.4822,0.1,0.7434,33.13
38.0,3.4965,0.1,0.7847,32.98
40.0,3.5162,0.1,0.826,33.05
42.0,3.54,0.1,0.8673,33.28
44.0,3.5583,0.1,0.9086,33.37
46.0,3.5777,0.1,0.9499,33.58
48.0,3.5901,0.1,0.9912,33.43
50.0,3.6074,0.1,1.0325,33.28
52.0,3.6276,0.1,1.0738,33.75
54.0,3.6416,0.1,1.1151,33.55
56.0,3.6605,0.1,1.1564,33.32
58.0,3.6729,0.1,1.1977,33.74
60.0,3.6854,0.1,1.239,33.98
62.0,3.7045,0.1,1.2803,33.77
64.0,3.7154,0.1,1.3216,33.8
66.0,3.7278,0.1,1.3629,33.7
68.0,3.7468,0.1,1.4042,34.1
70.0,3.758,0.1,1.4455,33.82
72.0,3.7744,0.1,1.4868,34.32
74.0,3.7809,0.1,1.5281,33.92
76.0,3.7897,0.1,1.5694,34.16
78.0,3.8011,0.1,1.6107,34.13
80.0,3.8183,0.1,1.652,33.94
82.0,3.832,0.1,1.6933,34.43
84.0,3.8329,0.1,1.7346,34.02
86.0,3.846,0.1,1.7759,34.1
88.0,3.8561,0.1,1.8172,33.9
90.0,3.866,0.1,1.8585,34.58
92.0,3.8728,0.1,1.8998,34.29
94.0,3.8809,0.1,1.9411,34.45
96.0,3.8936,0.1,1.9824,34.67
98.0,3.9036,0.1,2.0237,34.34
100.0,3.9131,0.1,2.065,34.34
102.0,3.9156,0.1,2.1063,34.48
104.0,3.927,0.1,2.1476,34.47
106.0,3.9364,0.1,2.1889,34.38
108.0,3.9441,0.1,2.2302,34.73
110.0,3.9468,0.1,2.2715,34.74
112.0,3.9565,0.1,2.3128,34.37
114.0,3.9714,0.1,2.3541,34.52
116.0,3.9749,0.1,2.3954,34.62
118.0,3.9722,0.1,2.4367,34.52
120.0,3.982,0.1,2.478,34.3
122.0,3.9844,0.1,2.5193,34.51
124.0,3.9974,0.1,2.5606,34.56
126.0,4.0005,0.1,2.6019,34.37
128.0,4.004,0.1,2.6432,34.4
130.0,4.0093,0.1,2.6845,34.45
132.0,4.0176,0.1,2.7258,34.33
134.0,4.0221,0.1,2.7671,34.34
136.0,4.0278,0.1,2.8084,34.52
138.0,4.0332,0.1,2.8497,34.5
140.0,4.0323,0.1,2.891,34.36
142.0,4.0427,0.1,2.9323,34.49
144.0,4.0414,0.1,2.9736,34.4
146.0,4.0541,0.1,3.0149,34.33
148.0,4.0544,0.1,3.0562,34.4
150.0,4.0594,0.1,3.0975,34.41
152.0,4.0628,0.1,3.1388,34.31
154.0,4.064,0.1,3.1801,34.23
156.0,4.0738,0.1,3.2214,34.2
158.0,4.0731,0.1,3.2627,34.12
160.0,4.0794,0.1,3.304,34.04
162.0,4.0831,0.1,3.3453,33.99
164.0,4.0804,0.1,3.3866,34.13
166.0,4.0871,0.1,3.4279,34.1
168.0,4.093,0.1,3.4692,33.96
170.0,4.0941,0.1,3.5105,33.85
172.0,4.0994,0.1,3.5518,34.04
174.0,4.1,0.1,3.5931,33.93
176.0,4.0988,0.1,3.6344,33.81
178.0,4.1053,0.1,3.6757,33.81
180.0,4.1067,0.1,3.717,33.56
182.0,4.1095,0.1,3.7583,33.62
184.0,4.1082,0.1,3.7996,33.65
186.0,4.1084,0.1,3.8409,33.73
188.0,4.1189,0.1,3.8822,33.57
190.0,4.1157,0.1,3.9235,33.38
192.0,4.1205,0.1,3.9648,33.11
194.0,4.1237,0.1,4.0061,33.52
196.0,4.1244,0.1,4.0474,33.29
198.0,4.1279,0.1,4.0887,33.36
200.0,4.1327,0.1,4.13,33.25
202.0,4.1293,0.1,4.1713,33.12
204.0,4.1339,0.1,4.2126,33.37
206.0,4.1342,0.1,4.2539,32.92
208.0,4.1344,0.1,4.2952,32.7
210.0,4.1397,0.1,4.3365,32.75
212.0,4.1368,0.1,4.3778,32.6
214.0,4.1388,0.1,4.4191,32.92
216.0,4.1398,0.1,4.4604,32.51
218.0,4.1458,0.084,4.5017,32.66
220.0,4.1481,0.0694,4.543,32.76
222.0,4.1483,0.0562,4.5843,32.39
224.0,4.1494,0.0444,4.6256,32.59
226.0,4.1494,0.034,4.6669,32.24
228.0,4.1558,0.025,4.7082,32.33
230.0,4.1526,0.0174,4.72,32.33
232.0,4.1582,0.0111,4.72,32.3
234.0,4.1554,0.0063,4.72,32.3
236.0,4.1641,0.0028,4.72,32.34
238.0,4.1608,0.0007,4.72,31.9
240.0,4.1712,0.0,4.72,31.82
