# auffaellig_kapazitaet: Kapazitätsdefizit (zu niedrige Porosität oder zu wenig Elektrolyt)
# MODELLKURVE aus veroeffentlichten Kennwerten — KEINE Messdaten.
# Erzeugt von data/build_templates.py (siehe docs/decisions.md, D2).
t_s,spannung_v,strom_c,kapazitaet_ah,temp_c
0.0,2.9989,0.1,0.0,31.9
2.0,3.0452,0.1,0.0372,32.13
4.0,3.075,0.1,0.0744,32.17
6.0,3.1185,0.1,0.1116,32.15
8.0,3.1496,0.1,0.1488,32.15
10.0,3.1871,0.1,0.1859,32.33
12.0,3.2209,0.1,0.2231,32.5
14.0,3.2524,0.1,0.2603,32.2
16.0,3.2848,0.1,0.2975,32.72
18.0,3.3159,0.1,0.3347,32.93
20.0,3.3488,0.1,0.3719,32.47
22.0,3.3734,0.1,0.4091,32.75
24.0,3.4001,0.1,0.4463,33.13
26.0,3.4274,0.1,0.4834,32.94
28.0,3.4606,0.1,0.5206,32.88
30.0,3.4782,0.1,0.5578,32.92
32.0,3.5064,0.1,0.595,33.15
34.0,3.5289,0.1,0.6322,32.87
36.0,3.5514,0.1,0.6694,33.03
38.0,3.5665,0.1,0.7066,33.09
40.0,3.5898,0.1,0.7437,33.34
42.0,3.6203,0.1,0.7809,33.59
44.0,3.6324,0.1,0.8181,33.29
46.0,3.6552,0.1,0.8553,33.58
48.0,3.6702,0.1,0.8925,33.45
50.0,3.6959,0.1,0.9297,33.51
52.0,3.7049,0.1,0.9669,33.59
54.0,3.7247,0.1,1.0041,33.47
56.0,3.7382,0.1,1.0413,33.5
58.0,3.7536,0.1,1.0784,34.0
60.0,3.7717,0.1,1.1156,33.75
62.0,3.7812,0.1,1.1528,33.77
64.0,3.8012,0.1,1.19,33.77
66.0,3.816,0.1,1.2272,33.69
68.0,3.8239,0.1,1.2644,34.2
70.0,3.8314,0.1,1.3016,34.16
72.0,3.8442,0.1,1.3388,34.01
74.0,3.8611,0.1,1.3759,34.18
76.0,3.8636,0.1,1.4131,33.81
78.0,3.8824,0.1,1.4503,34.14
80.0,3.8922,0.1,1.4875,34.13
82.0,3.9016,0.1,1.5247,34.14
84.0,3.9127,0.1,1.5619,34.26
86.0,3.9266,0.1,1.5991,34.47
88.0,3.9322,0.1,1.6362,34.24
90.0,3.9434,0.1,1.6734,34.27
92.0,3.9518,0.1,1.7106,34.1
94.0,3.9615,0.1,1.7478,34.22
96.0,3.9656,0.1,1.785,34.14
98.0,3.9799,0.1,1.8222,34.38
100.0,3.9874,0.1,1.8594,34.46
102.0,3.9862,0.1,1.8966,34.27
104.0,4.0007,0.1,1.9338,34.33
106.0,4.002,0.1,1.9709,34.43
108.0,4.0114,0.1,2.0081,34.32
110.0,4.0173,0.1,2.0453,34.41
112.0,4.0167,0.1,2.0825,34.56
114.0,4.028,0.1,2.1197,34.69
116.0,4.0327,0.1,2.1569,34.26
118.0,4.0453,0.1,2.1941,34.26
120.0,4.0452,0.1,2.2313,34.59
122.0,4.0513,0.1,2.2684,34.25
124.0,4.0579,0.1,2.3056,34.47
126.0,4.066,0.1,2.3428,34.58
128.0,4.0759,0.1,2.38,34.24
130.0,4.0713,0.1,2.4172,34.32
132.0,4.0791,0.1,2.4544,34.59
134.0,4.0821,0.1,2.4916,34.34
136.0,4.0817,0.1,2.5288,34.14
138.0,4.093,0.1,2.5659,34.51
140.0,4.0908,0.1,2.6031,34.55
142.0,4.0975,0.1,2.6403,34.54
144.0,4.0939,0.1,2.6775,34.27
146.0,4.1028,0.1,2.7147,34.41
148.0,4.1083,0.1,2.7519,34.18
150.0,4.109,0.1,2.7891,34.64
152.0,4.1137,0.1,2.8262,34.41
154.0,4.1145,0.1,2.8634,34.37
156.0,4.1228,0.1,2.9006,34.24
158.0,4.1238,0.1,2.9378,34.07
160.0,4.1246,0.1,2.975,34.3
162.0,4.1231,0.1,3.0122,34.3
164.0,4.1258,0.1,3.0494,33.98
166.0,4.1302,0.1,3.0866,34.35
168.0,4.1334,0.1,3.1237,34.16
170.0,4.1325,0.1,3.1609,34.0
172.0,4.1333,0.1,3.1981,33.86
174.0,4.1413,0.1,3.2353,33.9
176.0,4.1452,0.1,3.2725,33.83
178.0,4.1421,0.1,3.3097,34.0
180.0,4.1426,0.1,3.3469,33.54
182.0,4.1503,0.1,3.3841,33.78
184.0,4.1417,0.1,3.4213,33.68
186.0,4.1488,0.1,3.4584,33.89
188.0,4.1495,0.1,3.4956,33.49
190.0,4.1505,0.1,3.5328,33.36
192.0,4.1527,0.1,3.57,33.25
194.0,4.1533,0.1,3.6072,33.18
196.0,4.1533,0.1,3.6444,33.13
198.0,4.1577,0.1,3.6816,33.2
200.0,4.1569,0.1,3.7188,33.32
202.0,4.1618,0.1,3.7559,33.13
204.0,4.1618,0.1,3.7931,33.37
206.0,4.1652,0.1,3.8303,33.15
208.0,4.1579,0.1,3.8675,32.92
210.0,4.1603,0.1,3.9047,32.89
212.0,4.169,0.1,3.9419,32.79
214.0,4.1705,0.1,3.9791,32.68
216.0,4.1718,0.1,4.0163,32.54
218.0,4.1703,0.084,4.0534,32.77
220.0,4.1736,0.0694,4.0906,32.63
222.0,4.1788,0.0562,4.1278,32.52
224.0,4.1725,0.0444,4.165,32.11
226.0,4.18,0.034,4.2022,32.4
228.0,4.1721,0.025,4.2394,32.59
230.0,4.1801,0.0174,4.25,32.34
232.0,4.1729,0.0111,4.25,32.32
234.0,4.1761,0.0063,4.25,32.02
236.0,4.1818,0.0028,4.25,31.81
238.0,4.1811,0.0007,4.25,32.13
240.0,4.1863,0.0,4.25,32.05
