# gut_streuung: gesunde Zelle am unteren Rand der normalen Streuung
# MODELLKURVE aus veroeffentlichten Kennwerten — KEINE Messdaten.
# Erzeugt von data/build_templates.py (siehe docs/decisions.md, D2).
t_s,spannung_v,strom_c,kapazitaet_ah,temp_c
0.0,2.9931,0.1,0.0,31.95
2.0,3.032,0.1,0.0431,32.29
4.0,3.0606,0.1,0.0863,32.28
6.0,3.0883,0.1,0.1294,32.08
8.0,3.1158,0.1,0.1726,32.49
10.0,3.1484,0.1,0.2157,32.4
12.0,3.1823,0.1,0.2588,32.39
14.0,3.2004,0.1,0.302,32.5
16.0,3.2234,0.1,0.3451,32.87
18.0,3.2535,0.1,0.3882,32.37
20.0,3.272,0.1,0.4314,32.71
22.0,3.2992,0.1,0.4745,32.51
24.0,3.3131,0.1,0.5177,32.49
26.0,3.3421,0.1,0.5608,32.82
28.0,3.3652,0.1,0.6039,32.78
30.0,3.3818,0.1,0.6471,32.65
32.0,3.4073,0.1,0.6902,33.07
34.0,3.4295,0.1,0.7333,33.19
36.0,3.4457,0.1,0.7765,33.34
38.0,3.4651,0.1,0.8196,33.09
40.0,3.4826,0.1,0.8627,33.16
42.0,3.496,0.1,0.9059,33.33
44.0,3.521,0.1,0.949,33.31
46.0,3.5354,0.1,0.9922,33.47
48.0,3.5596,0.1,1.0353,33.48
50.0,3.5694,0.1,1.0784,33.43
52.0,3.5868,0.1,1.1216,33.38
54.0,3.6022,0.1,1.1647,33.63
56.0,3.6234,0.1,1.2079,33.81
58.0,3.6358,0.1,1.251,33.61
60.0,3.6492,0.1,1.2941,33.6
62.0,3.6624,0.1,1.3373,33.88
64.0,3.6731,0.1,1.3804,34.16
66.0,3.6906,0.1,1.4235,33.62
68.0,3.7038,0.1,1.4667,33.88
70.0,3.7151,0.1,1.5098,34.05
72.0,3.7288,0.1,1.5529,33.72
74.0,3.7364,0.1,1.5961,34.18
76.0,3.7557,0.1,1.6392,34.38
78.0,3.7689,0.1,1.6824,33.82
80.0,3.7771,0.1,1.7255,33.88
82.0,3.7907,0.1,1.7686,34.24
84.0,3.7932,0.1,1.8118,34.53
86.0,3.8091,0.1,1.8549,33.97
88.0,3.8182,0.1,1.8981,34.17
90.0,3.8276,0.1,1.9412,34.24
92.0,3.8411,0.1,1.9843,34.12
94.0,3.8474,0.1,2.0275,34.63
96.0,3.8532,0.1,2.0706,34.41
98.0,3.8652,0.1,2.1137,34.29
100.0,3.8753,0.1,2.1569,34.43
102.0,3.879,0.1,2.2,34.7
104.0,3.8925,0.1,2.2431,34.42
106.0,3.8963,0.1,2.2863,34.34
108.0,3.9097,0.1,2.3294,34.45
110.0,3.915,0.1,2.3726,34.45
112.0,3.9229,0.1,2.4157,34.47
114.0,3.9306,0.1,2.4588,34.46
116.0,3.9379,0.1,2.502,34.6
118.0,3.9419,0.1,2.5451,34.37
120.0,3.9461,0.1,2.5882,34.39
122.0,3.9524,0.1,2.6314,34.63
124.0,3.9616,0.1,2.6745,34.73
126.0,3.9747,0.1,2.7177,34.5
128.0,3.9692,0.1,2.7608,34.43
130.0,3.9794,0.1,2.8039,34.26
132.0,3.9845,0.1,2.8471,34.51
134.0,3.9894,0.1,2.8902,34.34
136.0,3.9939,0.1,2.9333,34.71
138.0,4.0009,0.1,2.9765,34.31
140.0,4.0053,0.1,3.0196,34.56
142.0,4.0093,0.1,3.0628,34.47
144.0,4.0183,0.1,3.1059,34.49
146.0,4.025,0.1,3.149,34.27
148.0,4.0287,0.1,3.1922,34.22
150.0,4.0285,0.1,3.2353,34.49
152.0,4.0364,0.1,3.2784,34.28
154.0,4.0345,0.1,3.3216,34.34
156.0,4.0402,0.1,3.3647,34.09
158.0,4.0441,0.1,3.4079,34.23
160.0,4.0435,0.1,3.451,34.22
162.0,4.0541,0.1,3.4941,34.04
164.0,4.0603,0.1,3.5373,34.19
166.0,4.0589,0.1,3.5804,33.96
168.0,4.0662,0.1,3.6235,33.8
170.0,4.0664,0.1,3.6667,33.89
172.0,4.0708,0.1,3.7098,33.97
174.0,4.0739,0.1,3.753,34.07
176.0,4.0775,0.1,3.7961,33.81
178.0,4.0761,0.1,3.8392,33.92
180.0,4.0842,0.1,3.8824,33.99
182.0,4.0834,0.1,3.9255,33.72
184.0,4.0884,0.1,3.9687,33.66
186.0,4.0914,0.1,4.0118,33.37
188.0,4.0967,0.1,4.0549,33.67
190.0,4.1003,0.1,4.0981,33.86
192.0,4.0986,0.1,4.1412,33.46
194.0,4.1021,0.1,4.1843,33.71
196.0,4.0994,0.1,4.2275,33.43
198.0,4.1026,0.1,4.2706,32.92
200.0,4.1033,0.1,4.3138,33.04
202.0,4.1149,0.1,4.3569,33.06
204.0,4.1133,0.1,4.4,32.96
206.0,4.118,0.1,4.4432,32.91
208.0,4.1222,0.1,4.4863,32.87
210.0,4.1181,0.1,4.5294,32.98
212.0,4.1225,0.1,4.5726,33.11
214.0,4.1247,0.1,4.6157,32.65
216.0,4.1246,0.1,4.6589,32.69
218.0,4.1303,0.084,4.702,32.77
220.0,4.1296,0.0694,4.7451,32.78
222.0,4.1302,0.0562,4.7883,32.56
224.0,4.1341,0.0444,4.8314,32.75
226.0,4.1349,0.034,4.8745,32.4
228.0,4.1337,0.025,4.9177,32.49
230.0,4.1367,0.0174,4.93,32.38
232.0,4.1344,0.0111,4.93,32.42
234.0,4.1376,0.0063,4.93,32.08
236.0,4.1463,0.0028,4.93,31.93
238.0,4.1443,0.0007,4.93,32.08
240.0,4.1429,0.0,4.93,32.2
